person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Atom Egoyan;Eraserhead;Belle de jour;Fat Girl;The Silence|Through a Glass Darkly;Vivre sa vie;8½;On the Waterfront;Elevator to the Gallows;Fists in the Pocket;;;;;;;
Ben Wheatley;The Ascent|Wings;Brazil;Alphaville;The Battle of Algiers ;Eraserhead;Grey Gardens;Le samouraï;Marketa Lazarová;Mishima: A Life in Four Chapters;A Woman Under the Influence;;;;;;
Jesse Malin;Down by Law;12 Angry Men;Paris, Texas;Paths of Glory;Umberto D.;The Royal Tenenbaums;Easy Rider;Love Streams;The Fugitive Kind;Shadows|Faces|A Woman Under the Influence|The Killing of a Chinese Bookie|Opening Night;;;;;;
Mark Cousins;The Decameron|The Canterbury Tales|Arabian Nights;Bad Timing;Le bonheur;The Marriage of Maria Braun|Lola|Veronika Voss;Close-up;High and Low;The Insect Woman;Medium Cool;A River Called Titas;Ace in the Hole;;;;;;
Olivier Assayas;The Leopard;Pickpocket|Andrei Rublev;White Material|A Christmas Tale|Chungking Express|Dazed and Confused|Frances Ha|Moonrise Kingdom|Yi Yi;Nashville;Heaven’s Gate;Videodrome;Che;La dolce vita|Army of Shadows;Fanny and Alexander: Television Version|Topsy-Turvy;Désiré|Judex;Rififi|Thief;;;;;
Josh and Benny Safdie;Bicycle Thieves;Shadows|Faces|A Woman Under the Influence|The Killing of a Chinese Bookie|Opening Night;Close-up|The Moment of Truth;The 400 Blows;Fishing with John|Monsieur Hulot’s Holiday;A Man Escaped;Crumb;Nashville;Hoop Dreams;Macbeth;;;;;;
André Gregory and Wallace Shawn;Jules and Jim;Cries and Whispers;Murmur of the Heart|Something Wild;Army of Shadows;Brief Encounter;Topsy-Turvy;Secret Sunshine;The Long Day Closes;The Rules of the Game;The Bakery Girl of Monceau|Suzanne’s Career|La collectionneuse|My Night at Maud’s|Claire’s Knee|Love in the Afternoon|Andrei Rublev;;;;;;
Annie Baker;Andrei Rublev;Fanny and Alexander: Theatrical Version;Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles;La collectionneuse;I vitelloni;Diary of a Country Priest;The Tales of Hoffmann;Pierrot le fou;Vanya on 42nd Street;A Room with a View|Documenteur;;;;;;
Sean Baker;Shadows|Faces|A Woman Under the Influence|The Killing of a Chinese Bookie|Opening Night|A Constant Forge;Naked;À nos amours;The Bakery Girl of Monceau|Suzanne’s Career|My Night at Maud’s|La collectionneuse|Claire’s Knee|Love in the Afternoon;Secret Sunshine;Harold and Maude;RoboCop;Scenes from a Marriage;Rosetta;Breaking the Waves;;;;;;
Troy Miller;Paths of Glory;Seconds;The Killers;Faces;Seven Samurai;This Is Spinal Tap;The Bank Dick;It’s a Mad, Mad, Mad, Mad World;Traffic;Repo Man;;;;;;
