person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Sean Baker;John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes|Charles Kiselyak;Mike Leigh;Maurice Pialat;Eric Rohmer|Eric Rohmer|Eric Rohmer|Eric Rohmer|Eric Rohmer|Eric Rohmer;Lee Chang-dong;Hal Ashby;Paul Verhoeven;Ingmar Bergman;Luc Dardenne and Jean-Pierre Dardenne;Lars von Trier;;;;;;
Troy Miller;Stanley Kubrick;John Frankenheimer;Don Siegel;John Cassavetes;Akira Kurosawa;Rob Reiner;Edward Cline;Stanley Kramer;Steven Soderbergh;Alex Cox;;;;;;
Keith Gordon;Stanley Kubrick;Nicolas Roeg|Nicolas Roeg|Nicolas Roeg;Terry Gilliam|Terry Gilliam;Terrence Malick|Terrence Malick;Hal Ashby;John Frankenheimer;Peter Medak;Henri-Georges Clouzot;Vittorio De Sica;Rainer Werner Fassbinder;;;;;;
Bruce Beresford;Satyajit Ray;Carl Th. Dreyer;Alf Sjöberg;Carol Reed;Sacha Guitry;John Ford;Roberto Rossellini;David Lean;Michelangelo Antonioni;Ingmar Bergman;;;;;;
Matthew Weiner;Josef von Sternberg;Giuseppe De Santis;Kenji Mizoguchi;Satyajit Ray;Luis Buñuel;Peter Bogdanovich;Wim Wenders;Errol Morris;Terry Jones;Jacques Demy|Bob Fosse;;;;;;
Ana Lily Amirpour;David Lynch;Terry Gilliam;Robert Bresson;Lars von Trier;Richard Linklater;Spike Jonze;Wes Anderson;Roman Polanski;Alex Cox;Roger Vadim;;;;;;
Reggie Watts;Terry Gilliam;Jean-Luc Godard;Jacques Tati;Richard Linklater;David Cronenberg;Wes Anderson;Charles Chaplin;Ang Lee;Stanley Kramer;Richard Linklater;;;;;;
Laura Mulvey;Michael Powell and Emeric Pressburger;Douglas Sirk;Jean-Luc Godard|Jean-Luc Godard|Jean-Luc Godard;Chantal Akerman;Djibril Diop Mambéty;Robert Siodmak and Edgar G. Ulmer;Abbas Kiarostami;Roberto Rossellini|Max Ophuls;;;;;;;;
Paul Schneider;Krzysztof Kieślowski|Krzysztof Kieślowski|Krzysztof Kieślowski;Arnaud Desplechin;Errol Morris;Charles Laughton;Barbara Kopple;Jonathan Demme;Wong Kar Wai;Kon Ichikawa;David Cronenberg;Carroll Ballard;David Gordon Green;;;;;
Meg Baird;Satyajit Ray|Satyajit Ray|Satyajit Ray;Peter Weir;John Lurie;Richard Linklater;D. A. Pennebaker|David Maysles, Albert Maysles, and Charlotte Zwerin;Terrence Malick;Sergei Eisenstein;Wong Kar Wai;Alfred Hitchcock|Michelangelo Antonioni;James Ivory;Luc Dardenne and Jean-Pierre Dardenne;;;;;
